"original_person","original_text","perturbed_person","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Dan besse","daniel vaughn ( dan ) besse ( born december 28 , 1954 ) is a graduate of unc-chapel hill school of law ( 1980 ) , an attorney , and , since 2001 , a city councilman in winston-salem , north carolina .<SPLIT>he was one of four democratic candidates in the 2008 lt. governor election for the seat vacated by beverly perdue , but came in last in the primary , which was won by walter dalton .<SPLIT>in the 2008 campaign , besse received the endorsement of the progressive democrats of","Tony rand","[MASK] vaughn ( [MASK] ) [MASK] ( born [MASK] 28 , [MASK] ) is a graduate of unc-chapel hill school of law ( 1980 ) , an attorney , and , since 2001 , a city councilman in winston-salem , north carolina .<SPLIT>he was one of four democratic candidates in the [MASK] lt. [MASK] election for the seat vacated by beverly perdue , but came in last in the primary , which was won by walter dalton .<SPLIT>in the [MASK] campaign , besse received the endorsement of the progressive democrats of",-15.718194007873535,0.9904672503471375,10,123553,10,2093,"Successful"
"Matt elliott","matt elliott is an english folk guitarist and singer from bristol , england , who plays dark folk music .<SPLIT>he also produced and recorded electronic music under the name the third eye","Ben parcell","[MASK] [MASK] is an english folk guitarist and singer from [MASK] , england , who plays [MASK] folk music .<SPLIT>he also produced and recorded electronic music under the name the third eye",-16.98707389831543,0.9788748621940613,11,138451,11,367,"Successful"
"Giuseppe mariani","giuseppe mariani was an italian art director .<SPLIT>he was nominated for an academy award in the category best art direction for the film `` the taming of the shrew '' .<SPLIT>","Robert cartwright","[MASK] [MASK] was an [MASK] art director .<SPLIT>he was nominated for an academy award in the category best art direction for the film `` the taming of the shrew '' .<SPLIT>",-17.7994327545166,0.7913923859596252,12,109288,12,250,"Successful"
"Tang li","tang li ( chinese : 唐莉 ; pinyin : táng lì ; born july 27 , 1982 ) is a chinese professional go player .<SPLIT>","Wang lei","[MASK] [MASK] ( chinese : 唐莉 ; pinyin : [MASK] [MASK] ; born [MASK] 27 , [MASK] ) is a chinese professional go player .<SPLIT>",-17.04374885559082,0.8429313898086548,13,121446,13,298,"Successful"
"Peter curran","peter curran is an irish broadcaster , writer , documentary maker and audiobook publisher .<SPLIT>he grew up in belfast , the eldest of six children .<SPLIT>after leaving school he worked on funfairs in the usa before moving to london .<SPLIT>curran worked for an interior design and building company for four years before re-training as a bbc reporter .<SPLIT>in 1992 , he began dj ` ing full-time for the london radio station bbc glr .<SPLIT>","Mark carruthers","[MASK] [MASK] is an irish broadcaster , writer , documentary maker and audiobook publisher .<SPLIT>he grew up in belfast , the eldest of six children .<SPLIT>after leaving school he worked on funfairs in the usa before moving to london .<SPLIT>curran worked for an interior design and building company for four years before re-training as a bbc reporter .<SPLIT>in 1992 , he began dj ` ing full-time for the london radio station bbc glr .<SPLIT>",-16.51743507385254,0.9689760804176331,14,19055,14,342,"Successful"
"Adam saltsman","adam saltsman , also known as adam atomic , is an american indie video game designer best known for creating the endless runner `` canabalt '' .<SPLIT>he is a founder of semi secret software and finji video game","Atom and his package","adam [MASK] , also known as adam atomic , is an american indie [MASK] game designer best known for creating the endless runner `` [MASK] '' .<SPLIT>he is a founder of semi secret software and finji video game",-14.58178997039795,0.7405184507369995,15,144551,15,304,"Successful"
"Walter clarence henderson","walter clarence henderson ( 28 february 1891 -- 20 september 1968 ) was a progressive conservative party member of the canadian house of commons .<SPLIT>he was born in carberry , manitoba and became a farmer by career .<SPLIT>he was elected at the cariboo riding in the 1958 general election , defeating social credit incumbent bert leboe .<SPLIT>henderson served only one term , the 24th canadian parliament , before leboe retook the riding in the 1962 election .<SPLIT>--","Harold monteith","[MASK] [MASK] [MASK] ( 28 [MASK] [MASK] -- 20 [MASK] [MASK] ) was a progressive conservative party member of the canadian house of commons .<SPLIT>he was born in [MASK] , [MASK] and became a [MASK] by career .<SPLIT>he was elected at the [MASK] riding in the 1958 general election , defeating social credit [MASK] bert leboe .<SPLIT>[MASK] served only one term , the 24th canadian parliament , before leboe retook the riding in the 1962 election .<SPLIT>--",-16.564722061157227,0.8611850142478943,16,107372,16,3070,"Successful"
"André salvador","andré fernando cabrita salvador ( born 4 november 1993 in portimão ) is a portuguese footballer who plays for portimonense s.c. as a midfielder .<SPLIT>","Nuno carvalho","[MASK] [MASK] [MASK] [MASK] ( born 4 [MASK] [MASK] in [MASK] ) is a portuguese footballer who plays for [MASK] s.c. as a [MASK] .<SPLIT>",-16.574262619018555,0.9893569946289062,17,10413,17,616,"Successful"
"Ernesto inarkiev","ernesto inarkiev ( born december 9 , 1985 in osh , kyrgyzstan ) is a russian chess grandmaster .<SPLIT>he was named after ernesto `` che '' guevara .<SPLIT>in 2006 he came third in the 59th russian chess championship superfinal .<SPLIT>in 2010 he tied for 1st -- 4th with konstantin chernyshov , lê quang liêm and evgeny bareev in the moscow open .<SPLIT>in 2015 he won `` moscow open 2015 '' with outstanding 8/9 .<SPLIT>","Gadir guseinov","[MASK] [MASK] ( born [MASK] 9 , [MASK] in [MASK] , [MASK] ) is a russian chess grandmaster .<SPLIT>he was named after ernesto `` che '' guevara .<SPLIT>in 2006 he came third in the 59th russian chess championship superfinal .<SPLIT>in 2010 he tied for 1st -- 4th with konstantin chernyshov , lê quang liêm and evgeny bareev in the moscow open .<SPLIT>in 2015 he won `` moscow open 2015 '' with outstanding 8/9 .<SPLIT>",-17.777069091796875,0.8832552433013916,18,85910,18,1327,"Successful"
"Bill rigby","william ` bill ' rigby ( 9 june 1921 - 1 june 2010 ) was a former english footballer who played as a goalkeeper .<SPLIT>he was born in chester .<SPLIT>a product of the youth system at his hometown club of chester , rigby made his only peacetime first-team appearance for the club in their first post-war match in the football league in a 4 -- 4 draw at york city on 31 august 1946 .<SPLIT>after this he was not selected again , with goalkeeping duties being passed on to george scales and jim maclaren .<SPLIT>earlier he had made appearances for","Edouard wojtczak","[MASK] [MASK] [MASK] ' [MASK] ( 9 [MASK] 1921 - 1 [MASK] [MASK] ) was a former english footballer who played as a goalkeeper .<SPLIT>he was born in [MASK] .<SPLIT>a product of the youth system at his hometown club of [MASK] , rigby made his only peacetime first-team appearance for the club in their first post-war match in the football league in a 4 -- 4 draw at york city on 31 august 1946 .<SPLIT>after this he was not selected again , with goalkeeping duties being passed on to george scales and jim maclaren .<SPLIT>earlier he had made appearances for",-18.05133056640625,0.9152454733848572,19,40318,19,2926,"Successful"
"Barnas sears","barnas sears ( november 19 , 1802 -- july 6 , 1880 ) graduated from brown university in 1825 .<SPLIT>sears was the general agent of the peabody education fund who was sent to staunton , virginia , by george peabody to offer leadership in public education .<SPLIT>sears was general agent of the fund from 1867 until february 1880 .<SPLIT>he settled in staunton because of the easy access to the railroad .<SPLIT>sears travelled extensively throughout the south promoting southern education , `` free schools for the whole people '' .<SPLIT>sears","Isaac adams","[MASK] [MASK] ( [MASK] 19 , 1802 -- july 6 , [MASK] ) graduated from [MASK] university in 1825 .<SPLIT>sears was the general agent of the peabody education fund who was sent to staunton , virginia , by george peabody to offer leadership in public education .<SPLIT>sears was general agent of the fund from 1867 until february 1880 .<SPLIT>he settled in staunton because of the easy access to the railroad .<SPLIT>sears travelled extensively throughout the south promoting southern education , `` free schools for the whole people '' .<SPLIT>sears",-17.220550537109375,0.8779855370521545,20,1345,20,1321,"Successful"
"Stepan rostomyan","stepan rostomyan ( '' Ստեփան Ռոստոմյան '' ) , ( born 4 april , 1956 ) is a famous armenian composer .<SPLIT>he is one of armenia 's key figures of the contemporary music scene , as well as a composer whose works have","Hasmik harutyunyan","[MASK] [MASK] ( '' Ստեփան Ռոստոմյան '' ) , ( born 4 [MASK] , [MASK] ) is a famous armenian [MASK] .<SPLIT>he is one of armenia 's key figures of the contemporary music scene , as well as a composer whose works have",-16.817758560180664,0.7256190776824951,21,3400,21,539,"Successful"
"Shashi gupta","shashi gupta ( born 3 april 1964 in delhi , india ) is a former test and one day international cricketer who represented india .<SPLIT>she played a total of 13 tests and 20 odis","V. kalpana","shashi gupta ( born 3 april 1964 in delhi , india ) is a former test and one day international cricketer who represented india .<SPLIT>[MASK] played a total of 13 tests and 20 odis",-10.18574047088623,0.9378942251205444,22,105389,22,32,"Successful"
"Allan higdon","allan l. higdon served on ottawa city council from 1994 through 2000 .<SPLIT>born in dublin , republic of ireland , he immigrated to canada in 1957 .<SPLIT>he received a ba from queen 's university in english and history and received a b.ed from the university of toronto .<SPLIT>he then worked with the canadian institute of mining and metallurgy .<SPLIT>he would later move to ottawa after living in toronto and southeast asia , where he would teach high school .<SPLIT>he then worked on parliament hill and then became a self-employed consultant specializing in","Lormong lo","[MASK] l. [MASK] served on [MASK] city council from 1994 through [MASK] .<SPLIT>born in dublin , republic of ireland , he immigrated to canada in 1957 .<SPLIT>he received a ba from queen 's university in english and history and received a b.ed from the university of toronto .<SPLIT>he then worked with the canadian institute of mining and metallurgy .<SPLIT>he would later move to ottawa after living in toronto and southeast asia , where he would teach high school .<SPLIT>he then worked on parliament hill and then became a self-employed consultant specializing in",-14.94571304321289,0.911675751209259,23,42343,23,1147,"Successful"
"Olcay çakır","olcay Çakır ( born 13 july 1993 in konak , İzmir , turkey ) is a turkish basketball player .<SPLIT>the young national plays for fenerbahçe İstanbul as both guard ( 1-2 ) position .<SPLIT>olcay Çakır is 182 cm tall and weighs 60 kg .<SPLIT>she is playing for fenerbahçe since 2005 in youth level and since 2010 in senior level .<SPLIT>Çakır was selected 27th overall in the 2013 wnba draft 's round 3 by the new york liberty .<SPLIT>she is so the first ever","Özge kavurmacıoğlu","[MASK] [MASK] ( born 13 [MASK] [MASK] in [MASK] , İzmir , turkey ) is a turkish basketball player .<SPLIT>the young national plays for fenerbahçe İstanbul as both [MASK] ( 1-2 ) position .<SPLIT>olcay Çakır is 182 cm tall and weighs 60 kg .<SPLIT>she is playing for fenerbahçe since 2005 in youth level and since 2010 in senior level .<SPLIT>Çakır was selected 27th overall in the 2013 wnba draft 's round 3 by the new [MASK] liberty .<SPLIT>she is so the first ever",-17.390512466430664,0.7121087312698364,24,119000,24,1842,"Successful"
"David buchanan","david buchanan ( 16 january 1830 -- 30 may 1900 ) was an english amateur cricketer who played mainly as a bowler and who had two careers separated in an unusual manner by a long period out of the first-class game .<SPLIT>he was born at edinburgh , midlothian , scotland , and died at rugby , warwickshire ,","Arthur woodcock","[MASK] [MASK] ( 16 [MASK] [MASK] -- 30 [MASK] [MASK] ) was an english amateur cricketer who played mainly as a bowler and who had two careers separated in an unusual manner by a long period out of the first-class game .<SPLIT>he was born at [MASK] , [MASK] , [MASK] , and died at [MASK] , warwickshire ,",-18.291439056396484,0.9885070323944092,25,81735,25,1671,"Successful"
"Enzo cilenti","enzo cilenti ( born 8 august 1974 ) is an english actor .<SPLIT>","Alan cox","[MASK] [MASK] ( born 8 august [MASK] ) is an english actor .<SPLIT>",-14.798958778381348,0.9973897337913513,26,121201,26,79,"Successful"
"Elango","elango nagarajah , also known as `` thaimann elango '' , is a tamil film actor , director , producer and lyricist in the tamil film industry .<SPLIT>he began his career in his early ages as a producer for the tamil film anbudan , starred arun vijay , meena , rambha ( actress ) in the main was released in the year 2000 .<SPLIT>then he worked on the most successful tamil music album நேசிக்கிறேன் as the director , actor and lyricist .<SPLIT>he was the main lead for all the six","Venkat prabhu","[MASK] [MASK] , also known as `` thaimann [MASK] '' , is a tamil film actor , director , producer and lyricist in the tamil film industry .<SPLIT>he began his career in his early ages as a producer for the tamil film anbudan , starred arun vijay , meena , rambha ( actress ) in the main was released in the year 2000 .<SPLIT>then he worked on the most successful tamil music album நேசிக்கிறேன் as the director , actor and lyricist .<SPLIT>he was the main lead for all the six",-15.220473289489746,0.9933544993400574,27,50508,27,745,"Successful"
"Jacoba surie","jacoba surie ( 5 september 1879 -- 5 february 1970 ) was a dutch painter .<SPLIT>surie was born in amsterdam and trained at the rijksakademie van beeldende kunsten there , where she studied under coba ritsema and joseph mendes da costa .<SPLIT>she was a member of arti et amicitiae and the pulchri studio and is considered one of the amsterdamse joffers .<SPLIT>surie died in amsterdam and was buried in zorgvlied .<SPLIT>","Anton mauve","[MASK] [MASK] ( 5 [MASK] [MASK] -- 5 [MASK] [MASK] ) was a dutch painter .<SPLIT>surie was born in [MASK] and trained at the [MASK] van beeldende kunsten there , where [MASK] studied under coba ritsema and joseph mendes da costa .<SPLIT>[MASK] was a member of arti et amicitiae and the pulchri studio and is considered one of the amsterdamse joffers .<SPLIT>surie died in [MASK] and was buried in zorgvlied .<SPLIT>",-17.632843017578125,0.6706109642982483,28,108600,28,2487,"Successful"
"Jeremy hotz","jeremy hotz ( born may 31 , 1963 ) is a canadian actor and stand-up comedian .<SPLIT>he has appeared on `` comedy central presents '' , the just for laughs comedy festival , the `` late show with david letterman '' , and `` the tonight show with jay leno '' .<SPLIT>he has also worked as a staff writer for paramount 's `` the jon stewart show '' and has appeared in various american and canadian motion pictures including : `` my favorite martian ''","Thomas middleditch","[MASK] [MASK] ( born [MASK] 31 , [MASK] ) is a canadian actor and [MASK] comedian .<SPLIT>he has appeared on `` comedy central presents '' , the just for laughs comedy festival , the `` late show with david letterman '' , and `` the tonight show with jay leno '' .<SPLIT>he has also worked as a staff writer for paramount 's `` the jon stewart show '' and has appeared in various american and canadian motion pictures including : `` my favorite martian ''",-16.792455673217773,0.9086770415306091,29,60008,29,1202,"Successful"
"John thompson","air vice marshal john hugh thompson cb ( born 18 september 1947 ) is a former royal air force officer who became head of the british defence staff in washington , d.c.<SPLIT>","Iain mcnicoll","air [MASK] marshal [MASK] hugh [MASK] cb ( born 18 [MASK] [MASK] ) is a former royal air force officer who became head of the british defence staff in washington , d.c.<SPLIT>",-16.874170303344727,0.9351599812507629,30,145052,30,471,"Successful"
"Bernardo sassetti","bernardo da costa sassetti pais ( 24 june 1970 -- 10 may 2012 ) was a portuguese jazz pianist and film composer .<SPLIT>sassetti was born in lisbon .<SPLIT>he was a great-grandson of sidónio pais , president of the first republic .<SPLIT>he initially played guitar , then began studying piano and music theory at age nine .<SPLIT>he became interested in jazz after hearing bill evans .<SPLIT>by the late 1980s , he was backing visiting musicians and teaching jazz piano in lisbon ( and , later , taught throughout other lusophonic areas ) .<SPLIT>during","Adele aus der ohe","[MASK] da [MASK] [MASK] pais ( 24 [MASK] [MASK] -- 10 [MASK] [MASK] ) was a [MASK] jazz pianist and [MASK] composer .<SPLIT>[MASK] was born in [MASK] .<SPLIT>he was a [MASK] of sidónio pais , president of the first republic .<SPLIT>he initially played guitar , then began studying piano and music theory at age nine .<SPLIT>he became interested in jazz after hearing bill evans .<SPLIT>by the late 1980s , he was backing visiting musicians and teaching jazz piano in lisbon ( and , later , taught throughout other lusophonic areas ) .<SPLIT>during",-16.999221801757812,0.9518499374389648,31,131708,31,3427,"Successful"
"Jesse f. keeler","jesse frederick keeler ( born november 11 , 1976 ) is a canadian musician .<SPLIT>he is known as the bassist of canadian dance-punk duo death from above 1979 and one half of the electronic music duo mstrkrft .<SPLIT>in addition to singing , keeler plays drums , guitar , bass , keyboards , and saxophone , as well as work as a producer , lending to music of a variety of styles over the course of his career , including","Garnet richardson","[MASK] [MASK] [MASK] ( born november 11 , [MASK] ) is a canadian musician .<SPLIT>he is known as the bassist of canadian dance-punk duo [MASK] from above 1979 and one half of the electronic music duo mstrkrft .<SPLIT>in addition to singing , keeler plays drums , guitar , bass , keyboards , and saxophone , as well as work as a producer , lending to music of a variety of styles over the course of his career , including",-17.185388565063477,0.9427470564842224,32,123426,32,1117,"Successful"
"Nikolai chizhevsky","he made his debut in the russian second division for fc znamya truda orekhovo-zuyevo on july 18 , 2013 in a game against fc kolomna .<SPLIT>","Anna cholovyaga","he made his debut in the russian second division for fc znamya truda [MASK] on july 18 , 2013 in a game against fc kolomna .<SPLIT>",-11.262645721435547,0.9886738061904907,33,57179,33,25,"Successful"
"Darcy james argue","darcy james argue is a vancouver-born , brooklyn-based jazz composer and bandleader .<SPLIT>he is best known for his work with his 18-piece ensemble , secret society , with which he has released two grammy-nominated albums .<SPLIT>","David weiss","[MASK] james [MASK] is a [MASK] , brooklyn-based jazz composer and bandleader .<SPLIT>he is best known for his work with his 18-piece ensemble , secret society , with which he has released two grammy-nominated albums .<SPLIT>",-16.563335418701172,0.7774268388748169,34,144322,34,277,"Successful"
"Édouard hervé","Édouard hervé ( 28 may 1835 -- 4 january 1899 ) was a french journalist , historian and politician .<SPLIT>","Charles humbert","[MASK] [MASK] ( 28 may [MASK] -- 4 [MASK] [MASK] ) was a french journalist , historian and politician .<SPLIT>",-16.052921295166016,0.8351170420646667,35,138827,35,216,"Successful"
"The earl of bellomont","richard coote , 1st earl of bellomont ( sometimes spelled bellamont , 1636 -- 5 march 1700/1 ) , known as the lord coote between 1683 and 1689 , was a member of the english parliament and a colonial governor .<SPLIT>born in ireland , he was an early supporter of william and mary , siding with them in the glorious revolution .<SPLIT>in 1695 he was given commissions as governor of the provinces of new york , massachusetts bay , and new hampshire , which he held until his death .<SPLIT>he did not arrive","The lord howard of effingham","[MASK] [MASK] , 1st earl of [MASK] ( sometimes spelled [MASK] , 1636 -- 5 march [MASK]/1 ) , known as the lord [MASK] between 1683 and 1689 , was a member of the english parliament and a colonial governor .<SPLIT>born in ireland , he was an early supporter of william and mary , siding with them in the glorious revolution .<SPLIT>in 1695 he was given commissions as governor of the provinces of new york , massachusetts bay , and new hampshire , which he held until his death .<SPLIT>he did not arrive",-16.964981079101562,0.7171011567115784,36,37644,36,1663,"Successful"
"Sigeferth","sigeferth or sigefirth or sicgga , was the third bishop of selsey , consecrated in 733 by tatwine , the archbishop of canterbury .<SPLIT>sigeferth was still bishop in 747 , when he attended the synod of clofesho .<SPLIT>his date of death was sometime between","Ælfsige","[MASK] or sigefirth or sicgga , was the third bishop of [MASK] , consecrated in [MASK] by tatwine , the archbishop of canterbury .<SPLIT>sigeferth was still bishop in [MASK] , when he attended the synod of clofesho .<SPLIT>his date of death was sometime between",-13.507294654846191,0.9585960507392883,37,60098,37,497,"Successful"
"Rachel gowey","rachel kathryn gowey ( born october 3 , 1997 ) is an american artistic gymnast .<SPLIT>she is a u.s. national team member , a position she has held since 2014 .<SPLIT>at the 2015 pan american games in toronto , she was part of the gold-winning us team , also winning gold individually on the uneven bars","Simone biles","[MASK] [MASK] [MASK] ( born [MASK] 3 , 1997 ) is an american artistic gymnast .<SPLIT>she is a u.s. national team member , a position she has held since 2014 .<SPLIT>at the 2015 pan american games in toronto , she was part of the gold-winning us team , also winning gold individually on the uneven bars",-16.885009765625,0.9261786937713623,38,23485,38,640,"Successful"
"Basavaraj patil sedam","basvaraj patil sedam ( born 10 february 1944 ) is a member of rajya sabha from karnataka .<SPLIT>he was the secretary of bharatiya janata party and president of the bharatiya janata party karnataka unit .<SPLIT>he was elected as a member of the 12th lok sabha from gulbarga .<SPLIT>","Pranay vivek patil","[MASK] patil [MASK] ( born 10 [MASK] [MASK] ) is a member of rajya sabha from karnataka .<SPLIT>he was the secretary of bharatiya janata party and president of the bharatiya janata party karnataka unit .<SPLIT>he was elected as a member of the 12th lok sabha from gulbarga .<SPLIT>",-17.012327194213867,0.8547062277793884,39,108300,39,562,"Successful"
"Demetrius of pharos","demetrius of pharos ( also pharus ) ( ) was a ruler of pharos involved in the first illyrian war , after which he ruled a portion of the illyrian adriatic coast on behalf of the romans , as a client king .<SPLIT>demetrius was a regent ruler to pinnes , the son of agron who was too young to rule as king .<SPLIT>when the romans were occupied with their own problems , he had grown stronger as an ally of macedonia and also by conquering dimallum of dalmatia , on","Gregory","[MASK] of [MASK] ( also pharus ) ( ) was a ruler of [MASK] involved in the first illyrian war , after which he ruled a portion of the illyrian adriatic coast on behalf of the romans , as a client king .<SPLIT>demetrius was a regent ruler to pinnes , the son of agron who was too young to rule as king .<SPLIT>when the romans were occupied with their own problems , he had grown stronger as an ally of macedonia and also by conquering dimallum of dalmatia , on",-14.101851463317871,0.9255483746528625,40,105960,40,718,"Successful"
"Alfred e. reinhardt","alfred e. reinhardt ( december 1902 - march , 1987 ) aia , was an american architect active in mid-twentieth-century connecticut and massachusetts .<SPLIT>his firm specialized in ecclesiastical design and was very active with roman catholic clients , mostly in connecticut .<SPLIT>","Herbert e. matz","[MASK] e. [MASK] ( december [MASK] - march , [MASK] ) aia , was an american architect active in mid-twentieth-century connecticut and massachusetts .<SPLIT>his firm specialized in ecclesiastical design and was very active with roman catholic clients , mostly in connecticut .<SPLIT>",-16.473773956298828,0.6521165370941162,41,113737,41,432,"Successful"
