,original_person,original_text,original_text_id_bm25,perturbed_person,perturbed_text,perturbed_text_id_bm25,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
10,Thaila ayala,"<font color = red>thaila</font> <font color = red>ayala</font> <font color = red>sales</font> ( born april <font color = red>14</font> , <font color = red>1986</font> <font color = red>in</font> <font color = red>presidente</font> <font color = red>prudente</font> ) is a <font color = red>brazilian</font> actress and model .<SPLIT>",10,Peyton list,"<<font color = red>mask__5</font>> <<font color = red>mask__2</font>> <<font color = red>mask__3</font>> ( born april <<font color = red>mask__8</font>> , <<font color = red>mask__7</font>> <<font color = red>mask__1</font>> <<font color = red>mask__9</font>> <<font color = red>mask__6</font>> ) is a <<font color = red>mask__4</font>> actress and model .<SPLIT>",64810,1.3113021850585938e-06,0.5833290815353394,10,64810,10,201,Successful
11,Sven leuenberger,"<font color = green>sven</font> <font color = green>leuenberger</font> ( born <font color = green>august</font> <font color = green>25</font> , <font color = green>1969</font> in <font color = green>niederuzwil</font> , switzerland ) is a retired <font color = green>swiss</font> professional ice hockey defender .<SPLIT>playing in the nla-a , <font color = green>leuenberger</font> accumulated 74 goals , 173 assists , and 443 penalty minutes in the regular season .<SPLIT>since the nla 2006 season , <font color = green>leuenberger</font> has been the general manager ( sports director ) of the sc bern .<SPLIT>on august 1 , 2008 sc bern 's coach <font color = green>suffered</font> , john <font color = green>van</font> boxmeer , a heart attack side-lining him for a month .<SPLIT><font color = green>during</font> van boxmeer 's <font color = green>absence</font> , general manager sven <font color = green>leuenberger</font> coached the team along with assistant coach konstantin kurashev -lsb- http://www.iihf.com/home-of-hockey/news/news-singleview/article/van-boxmeer-suffers-heart-attack/leuenberger.html] .<SPLIT>",11,John van boxmeer,"<<font color = brown>mask__14</font>> <<font color = brown>mask__12</font>> ( born <<font color = brown>mask__7</font>> <<font color = brown>mask__9</font>> , <<font color = brown>mask__8</font>> in <<font color = brown>mask__10</font>> , switzerland ) is a retired <<font color = brown>mask__11</font>> professional ice hockey defender .<SPLIT>playing in the nla-a , <<font color = brown>mask__2</font>> accumulated 74 goals , 173 assists , and 443 penalty minutes in the regular season .<SPLIT>since the nla 2006 season , <<font color = brown>mask__1</font>> has been the general manager ( sports director ) of the sc bern .<SPLIT>on august 1 , 2008 sc bern 's coach <<font color = brown>mask__4</font>> , john <<font color = brown>mask__6</font>> boxmeer , a heart attack side-lining him for a month .<SPLIT><<font color = brown>mask__13</font>> van boxmeer 's <<font color = brown>mask__5</font>> , general manager sven <<font color = brown>mask__3</font>> coached the team along with assistant coach konstantin kurashev -lsb- http://www.iihf.com/home-of-hockey/news/news-singleview/article/van-boxmeer-suffers-heart-attack/leuenberger.html] .<SPLIT>",60006,1.7881393432617188e-06,0.6104475259780884,11,11969,11,2573,Successful
12,Brett scott,"<font color = blue>brett</font> <font color = blue>scott</font> ( born <font color = blue>10</font> <font color = blue>april</font> <font color = blue>1962</font> ) is a former australian <font color = blue>rules</font> footballer who played with the sydney football club in the <font color = blue>victorian</font> football league during the 1980s .<SPLIT><font color = blue>scott</font> played his early football with the <font color = blue>rock-yerong</font> <font color = blue>creek</font> before being recruited to south <font color = blue>melbourne</font> and making his league debut in <font color = blue>1981</font> .<SPLIT>the following year the club relocated to sydney and he took part in the inaugural game for their new city .<SPLIT>injuries restricted his appearances over the years and when he finished in <font color = blue>1989</font> he had managed just 59 senior games .<SPLIT>after gary buckenara was sacked as sydney 's <font color = blue>coach</font> in 1993 , <font color = blue>scott</font> acted as a caretaker coach for two games .<SPLIT>",12,David murphy,"<<font color = cyan>mask__15</font>> <<font color = cyan>mask__14</font>> ( born <<font color = cyan>mask__13</font>> <<font color = cyan>mask__12</font>> <<font color = cyan>mask__2</font>> ) is a former australian <<font color = cyan>mask__1</font>> footballer who played with the sydney football club in the <<font color = cyan>mask__11</font>> football league during the 1980s .<SPLIT><<font color = cyan>mask__9</font>> played his early football with the <<font color = cyan>mask__10</font>> <<font color = cyan>mask__8</font>> before being recruited to south <<font color = cyan>mask__4</font>> and making his league debut in <<font color = cyan>mask__5</font>> .<SPLIT>the following year the club relocated to sydney and he took part in the inaugural game for their new city .<SPLIT>injuries restricted his appearances over the years and when he finished in <<font color = cyan>mask__6</font>> he had managed just 59 senior games .<SPLIT>after gary buckenara was sacked as sydney 's <<font color = cyan>mask__7</font>> in 1993 , <<font color = cyan>mask__3</font>> acted as a caretaker coach for two games .<SPLIT>",58287,1.3113021850585938e-06,0.6322741508483887,12,58287,12,2952,Successful
13,Marlon evans,<font color = purple>marlon</font> <font color = purple>evans</font> ( <font color = purple>born</font> <font color = purple>3</font> <font color = purple>august</font> <font color = purple>1997</font> ) <font color = purple>is</font> <font color = purple>a</font> <font color = purple>guamanian</font> <font color = purple>international</font> <font color = purple>footballer</font> <font color = purple>who</font> <font color = purple>plays</font> <font color = purple>for</font> <font color = purple>wings</font> <font color = purple>in</font> <font color = purple>the</font> <font color = purple>guam</font> <font color = purple>men</font> '<font color = purple>s</font> <font color = purple>soccer</font> <font color = purple>league</font><SPLIT>,13,Marlon evans,<<font color = purple>mask__22</font>> <<font color = purple>mask__7</font>> ( <<font color = purple>mask__13</font>> <<font color = purple>mask__15</font>> <<font color = purple>mask__16</font>> <<font color = purple>mask__20</font>> ) <<font color = purple>mask__18</font>> <<font color = purple>mask__10</font>> <<font color = purple>mask__21</font>> <<font color = purple>mask__3</font>> <<font color = purple>mask__4</font>> <<font color = purple>mask__6</font>> <<font color = purple>mask__19</font>> <<font color = purple>mask__14</font>> <<font color = purple>mask__8</font>> <<font color = purple>mask__1</font>> <<font color = purple>mask__5</font>> <<font color = purple>mask__17</font>> <<font color = purple>mask__11</font>> '<<font color = purple>mask__12</font>> <<font color = purple>mask__9</font>> <<font color = purple>mask__2</font>><SPLIT>,0,1.430511474609375e-06,0.09331285953521729,13,13,13,485,Failed
14,Jesper blicher,"<font color = yellow>jesper</font> <font color = yellow>blicher</font> ( born 4 <font color = yellow>october</font> <font color = yellow>1988</font> ) is a danish professional football midfielder , who currently plays for danish 1st division side lyngby boldklub .<SPLIT>blicher began playing football in <font color = yellow>kolt-hasselager</font> if , where he was picked for agf , where he got his other footballing education .<SPLIT>he was part of the year ' 88 , who won in the junior league , like michael lumb , frederik krabbe , michael vester , niels kristensen , morten beck andersen and anders syberg , who all had the onset of agf 's 1 .<SPLIT>hold .<SPLIT>in the autumn of 2009 he was loaned to næstved bk , and just before winter transfer window end he switched permanently to the club .<SPLIT>in 2010 he changed to fc fredericia , where he played until 2012 when he got vendsyssel ff as a new club in january 2015 he was given at his own request that he want to terminated his contract with the vendsyssel ff .<SPLIT>on 6 february 2015 he signed a two-year contract with lyngby boldklub<SPLIT>",14,Morten christiansen,"<<font color = green>mask__5</font>> <<font color = green>mask__4</font>> ( born 4 <<font color = green>mask__3</font>> <<font color = green>mask__2</font>> ) is a danish professional football midfielder , who currently plays for danish 1st division side lyngby boldklub .<SPLIT>blicher began playing football in <<font color = green>mask__1</font>> if , where he was picked for agf , where he got his other footballing education .<SPLIT>he was part of the year ' 88 , who won in the junior league , like michael lumb , frederik krabbe , michael vester , niels kristensen , morten beck andersen and anders syberg , who all had the onset of agf 's 1 .<SPLIT>hold .<SPLIT>in the autumn of 2009 he was loaned to næstved bk , and just before winter transfer window end he switched permanently to the club .<SPLIT>in 2010 he changed to fc fredericia , where he played until 2012 when he got vendsyssel ff as a new club in january 2015 he was given at his own request that he want to terminated his contract with the vendsyssel ff .<SPLIT>on 6 february 2015 he signed a two-year contract with lyngby boldklub<SPLIT>",14,1.9073486328125e-06,0.5870185494422913,14,43801,14,1133,Successful
15,Stewart ford,"<font color = orange>stewart</font> <font color = orange>owen</font> <font color = orange>ford</font> ( <font color = orange>born</font> <font color = orange>1964</font> ) <font color = orange>is</font> <font color = orange>a</font> <font color = orange>british</font> <font color = orange>businessman</font> , <font color = orange>the</font> <font color = orange>founder</font> <font color = orange>and</font> <font color = orange>chief</font> <font color = orange>executive</font> ( <font color = orange>ceo</font> ) <font color = orange>of</font> <font color = orange>the</font> <font color = orange>failed</font> <font color = orange>financial</font> <font color = orange>company</font> <font color = orange>keydata</font> .<SPLIT><font color = orange>he</font> <font color = orange>was</font> <font color = orange>fined</font> <font color = orange>a</font> <font color = orange>record</font> # <font color = orange>75</font> <font color = orange>million</font> <font color = orange>by</font> <font color = orange>the</font> <font color = orange>financial</font> <font color = orange>conduct</font> <font color = orange>authority</font> <font color = orange>in</font> <font color = orange>may</font> <font color = orange>2015</font> .<SPLIT>",15,Stewart ford,"<<font color = orange>mask__35</font>> <<font color = orange>mask__34</font>> <<font color = orange>mask__33</font>> ( <<font color = orange>mask__19</font>> <<font color = orange>mask__32</font>> ) <<font color = orange>mask__27</font>> <<font color = orange>mask__11</font>> <<font color = orange>mask__24</font>> <<font color = orange>mask__7</font>> , <<font color = orange>mask__8</font>> <<font color = orange>mask__5</font>> <<font color = orange>mask__9</font>> <<font color = orange>mask__2</font>> <<font color = orange>mask__22</font>> ( <<font color = orange>mask__6</font>> ) <<font color = orange>mask__1</font>> <<font color = orange>mask__29</font>> <<font color = orange>mask__25</font>> <<font color = orange>mask__30</font>> <<font color = orange>mask__28</font>> <<font color = orange>mask__36</font>> .<SPLIT><<font color = orange>mask__23</font>> <<font color = orange>mask__15</font>> <<font color = orange>mask__21</font>> <<font color = orange>mask__12</font>> <<font color = orange>mask__18</font>> # <<font color = orange>mask__3</font>> <<font color = orange>mask__4</font>> <<font color = orange>mask__16</font>> <<font color = orange>mask__14</font>> <<font color = orange>mask__26</font>> <<font color = orange>mask__13</font>> <<font color = orange>mask__20</font>> <<font color = orange>mask__10</font>> <<font color = orange>mask__17</font>> <<font color = orange>mask__31</font>> .<SPLIT>",55066,1.5497207641601562e-06,0.05557900667190552,15,15,15,1297,Failed
16,Chris galletta,<font color = pink>chris</font> <font color = pink>galletta</font> ( <font color = pink>born</font> <font color = pink>1981</font> ) <font color = pink>is</font> <font color = pink>an</font> <font color = pink>american</font> <font color = pink>screenwriter</font> .<SPLIT><font color = pink>he</font> <font color = pink>is</font> <font color = pink>best</font> <font color = pink>known</font> <font color = pink>for</font> <font color = pink>writing</font> <font color = pink>the</font> <font color = pink>2013</font> <font color = pink>coming-of-age</font> <font color = pink>film</font> <font color = pink>``</font> <font color = pink>the</font> <font color = pink>kings</font> <font color = pink>of</font> <font color = pink>summer</font> '' .<SPLIT>,16,Chris galletta,<<font color = pink>mask__1</font>> <<font color = pink>mask__23</font>> ( <<font color = pink>mask__3</font>> <<font color = pink>mask__18</font>> ) <<font color = pink>mask__7</font>> <<font color = pink>mask__13</font>> <<font color = pink>mask__2</font>> <<font color = pink>mask__21</font>> .<SPLIT><<font color = pink>mask__10</font>> <<font color = pink>mask__8</font>> <<font color = pink>mask__12</font>> <<font color = pink>mask__9</font>> <<font color = pink>mask__11</font>> <<font color = pink>mask__19</font>> <<font color = pink>mask__17</font>> <<font color = pink>mask__22</font>> <<font color = pink>mask__16</font>> <<font color = pink>mask__20</font>> <<font color = pink>mask__14</font>> <<font color = pink>mask__5</font>> <<font color = pink>mask__6</font>> <<font color = pink>mask__4</font>> <<font color = pink>mask__15</font>> '' .<SPLIT>,20758,1.5497207641601562e-06,0.01586979627609253,16,16,16,530,Failed
17,Barbara coombs lee,"<font color = cyan>barbara</font> <font color = cyan>coombs</font> lee , <font color = cyan>pa</font> , <font color = cyan>fnp</font> , <font color = cyan>jd</font> , ( born <font color = cyan>1947</font> ) <font color = cyan>is</font> <font color = cyan>an</font> american <font color = cyan>activist</font> and <font color = cyan>president</font> <font color = cyan>of</font> <font color = cyan>compassion</font> & <font color = cyan>choices</font> , a national non-profit organization dedicated to expanding and <font color = cyan>protecting</font> the rights of the terminally ill .<SPLIT>she practiced as a <font color = cyan>nurse</font> and <font color = cyan>physician</font> assistant for 25 years before becoming an attorney and devoting her <font color = cyan>professional</font> life to individual <font color = cyan>choice</font> and empowerment in <font color = cyan>health</font> care .<SPLIT>staffing the oregon senate healthcare and bioethics committee in 1991 , she helped oregon <font color = cyan>state</font> <font color = cyan>senator</font> <font color = cyan>frank</font> l. <font color = cyan>roberts</font> as he proposed one of the first aid in dying laws in the nation .<SPLIT>unfortunately , the committee never approved the bill , and roberts died of his prostate cancer in 1993 , suffering the kind of slow , painful death he hoped his bill would spare him .<SPLIT>when coombs lee read in her church bulletin that congregants wanted to draft a death with dignity bill and place it before oregon voters , she volunteered to help .<SPLIT>she co-authored the bill and became one of three chief petitioners who filed the oregon death with dignity act as a citizens ' initiative in 1994 .<SPLIT>coombs lee served as spokesperson for the group through two statewide campaigns and 10 years defending against attacks on the nation 's first death with dignity law in both the judicial and legislative arenas .<SPLIT>senator roberts ' wife , oregon governor barbara roberts , became a good friend and a tireless and outspoken advocate for death with dignity .<SPLIT>under coombs lee 's leadership , since 1996 as president of compassion in dying ( which became compassion & choices in 2005 ) , the end-of-life choice movement has achieved many milestones .<SPLIT>in 2008 , coombs lee was a senior advisor for the washington state death with dignity ballot initiative that voters approved by an 18-point margin , becoming the second state to legalize aid in dying .<SPLIT>in 2009 , the montana supreme court ruled in the landmark case brought by compassion & choices ( `` baxter v. montana '' ) that it is not against the state 's public policy for a physician to provide aid in dying to a mentally competent , terminally ill adult .<SPLIT>coombs lee has been interviewed by many of the nation 's leading media outlets , including bloomberg news , `` the new york times , usa today , the washington post , the chicago tribune '' , all things considered , the diane rehm show , nbc news , crossfire , 60 minutes , the macneil/lehrer newshour , the today show , on our own terms : moyers on dying , and the dr. oz show .<SPLIT>she has been a presenter at programs sponsored by the american bar association , older women 's league , american pain society , oregon state bar , cleveland city club , americans for better care of the dying , american association for the advancement of science and the american pain society .<SPLIT>she also spoke at the world federation right to die conferences in zurich , boston , brussels and toronto .<SPLIT>her audiences have included the oregon gerontological association and the california nurse assembly & education conference .<SPLIT>her 1999 debate doctor assisted suicide : compassionate alternative or murder with james bopp , jr. , was produced the university of pennsylvania 's annenberg public policy center for public radio .<SPLIT>she is a regular contributor to huffington post and dr. oz 's sharecare .<SPLIT>coombs lee studied literature and nursing at vassar college and cornell university , and earned advanced degrees in law and medicine from the university of washington and lewis & clark college .<SPLIT>she is a member of the oregon state bar .<SPLIT>",17,Carol lee flinders,"<<font color = pink>mask__22</font>> <<font color = pink>mask__23</font>> lee , <<font color = pink>mask__20</font>> , <<font color = pink>mask__19</font>> , <<font color = pink>mask__15</font>> , ( born <<font color = pink>mask__21</font>> ) <<font color = pink>mask__4</font>> <<font color = pink>mask__3</font>> american <<font color = pink>mask__5</font>> and <<font color = pink>mask__16</font>> <<font color = pink>mask__13</font>> <<font color = pink>mask__18</font>> & <<font color = pink>mask__17</font>> , a national non-profit organization dedicated to expanding and <<font color = pink>mask__2</font>> the rights of the terminally ill .<SPLIT>she practiced as a <<font color = pink>mask__6</font>> and <<font color = pink>mask__7</font>> assistant for 25 years before becoming an attorney and devoting her <<font color = pink>mask__1</font>> life to individual <<font color = pink>mask__14</font>> and empowerment in <<font color = pink>mask__11</font>> care .<SPLIT>staffing the oregon senate healthcare and bioethics committee in 1991 , she helped oregon <<font color = pink>mask__9</font>> <<font color = pink>mask__8</font>> <<font color = pink>mask__10</font>> l. <<font color = pink>mask__12</font>> as he proposed one of the first aid in dying laws in the nation .<SPLIT>unfortunately , the committee never approved the bill , and roberts died of his prostate cancer in 1993 , suffering the kind of slow , painful death he hoped his bill would spare him .<SPLIT>when coombs lee read in her church bulletin that congregants wanted to draft a death with dignity bill and place it before oregon voters , she volunteered to help .<SPLIT>she co-authored the bill and became one of three chief petitioners who filed the oregon death with dignity act as a citizens ' initiative in 1994 .<SPLIT>coombs lee served as spokesperson for the group through two statewide campaigns and 10 years defending against attacks on the nation 's first death with dignity law in both the judicial and legislative arenas .<SPLIT>senator roberts ' wife , oregon governor barbara roberts , became a good friend and a tireless and outspoken advocate for death with dignity .<SPLIT>under coombs lee 's leadership , since 1996 as president of compassion in dying ( which became compassion & choices in 2005 ) , the end-of-life choice movement has achieved many milestones .<SPLIT>in 2008 , coombs lee was a senior advisor for the washington state death with dignity ballot initiative that voters approved by an 18-point margin , becoming the second state to legalize aid in dying .<SPLIT>in 2009 , the montana supreme court ruled in the landmark case brought by compassion & choices ( `` baxter v. montana '' ) that it is not against the state 's public policy for a physician to provide aid in dying to a mentally competent , terminally ill adult .<SPLIT>coombs lee has been interviewed by many of the nation 's leading media outlets , including bloomberg news , `` the new york times , usa today , the washington post , the chicago tribune '' , all things considered , the diane rehm show , nbc news , crossfire , 60 minutes , the macneil/lehrer newshour , the today show , on our own terms : moyers on dying , and the dr. oz show .<SPLIT>she has been a presenter at programs sponsored by the american bar association , older women 's league , american pain society , oregon state bar , cleveland city club , americans for better care of the dying , american association for the advancement of science and the american pain society .<SPLIT>she also spoke at the world federation right to die conferences in zurich , boston , brussels and toronto .<SPLIT>her audiences have included the oregon gerontological association and the california nurse assembly & education conference .<SPLIT>her 1999 debate doctor assisted suicide : compassionate alternative or murder with james bopp , jr. , was produced the university of pennsylvania 's annenberg public policy center for public radio .<SPLIT>she is a regular contributor to huffington post and dr. oz 's sharecare .<SPLIT>coombs lee studied literature and nursing at vassar college and cornell university , and earned advanced degrees in law and medicine from the university of washington and lewis & clark college .<SPLIT>she is a member of the oregon state bar .<SPLIT>",17,2.1457672119140625e-06,0.5013062953948975,17,15616,17,5255,Successful
18,Darren m. swain,"<font color = gray>darren</font> <font color = gray>m</font>. <font color = gray>swain</font> <font color = gray>is</font> <font color = gray>an</font> <font color = gray>american</font> <font color = gray>politician</font> , <font color = gray>a</font> <font color = gray>democrat</font> <font color = gray>and</font> <font color = gray>a</font> <font color = gray>member</font> <font color = gray>of</font> <font color = gray>the</font> <font color = gray>maryland</font> <font color = gray>house</font> <font color = gray>of</font> <font color = gray>delegates</font> .<SPLIT>",18,Darren m. swain,"<<font color = gray>mask__18</font>> <<font color = gray>mask__16</font>>. <<font color = gray>mask__17</font>> <<font color = gray>mask__13</font>> <<font color = gray>mask__5</font>> <<font color = gray>mask__9</font>> <<font color = gray>mask__4</font>> , <<font color = gray>mask__6</font>> <<font color = gray>mask__10</font>> <<font color = gray>mask__14</font>> <<font color = gray>mask__12</font>> <<font color = gray>mask__8</font>> <<font color = gray>mask__3</font>> <<font color = gray>mask__11</font>> <<font color = gray>mask__1</font>> <<font color = gray>mask__2</font>> <<font color = gray>mask__7</font>> <<font color = gray>mask__15</font>> .<SPLIT>",51041,1.7881393432617188e-06,0.6818105578422546,18,18,18,325,Failed
19,Paul quinn,"<font color = brown>paul</font> <font color = brown>charles</font> <font color = brown>quinn</font> ( <font color = brown>born</font> <font color = brown>21</font> <font color = brown>july</font> <font color = brown>1985</font> ) <font color = brown>is</font> a scottish footballer who <font color = brown>currently</font> <font color = brown>plays</font> <font color = brown>for</font> aberdeen in the scottish premiership .<SPLIT>his usual position is right back , but <font color = brown>can</font> also play at <font color = brown>centre</font> back or on the right wing .<SPLIT><font color = brown>quinn</font> started his career at <font color = brown>motherwell</font> and <font color = brown>has</font> also played for <font color = brown>cardiff</font> city , doncaster rovers , and ross <font color = brown>county</font> .<SPLIT>",19,Andrew anderson,"<<font color = blue>mask__18</font>> <<font color = blue>mask__17</font>> <<font color = blue>mask__16</font>> ( <<font color = blue>mask__9</font>> <<font color = blue>mask__15</font>> <<font color = blue>mask__13</font>> <<font color = blue>mask__14</font>> ) <<font color = blue>mask__4</font>> a scottish footballer who <<font color = blue>mask__7</font>> <<font color = blue>mask__6</font>> <<font color = blue>mask__8</font>> aberdeen in the scottish premiership .<SPLIT>his usual position is right back , but <<font color = blue>mask__1</font>> also play at <<font color = blue>mask__5</font>> back or on the right wing .<SPLIT><<font color = blue>mask__12</font>> started his career at <<font color = blue>mask__3</font>> and <<font color = blue>mask__2</font>> also played for <<font color = blue>mask__11</font>> city , doncaster rovers , and ross <<font color = blue>mask__10</font>> .<SPLIT>",19,1.7881393432617188e-06,0.6653643846511841,19,21992,19,1655,Successful
20,Bob motl,"<font color = red>robert</font> <font color = red>joseph</font> <font color = red>motl</font> ( <font color = red>july</font> <font color = red>26</font> , <font color = red>1920</font> -- <font color = red>june</font> <font color = red>3</font> , <font color = red>2007</font> ) <font color = red>was</font> <font color = red>an</font> <font color = red>american</font> <font color = red>football</font> <font color = red>end</font> <font color = red>in</font> <font color = red>the</font> <font color = red>all-america</font> <font color = red>football</font> <font color = red>conference</font> <font color = red>for</font> <font color = red>the</font> <font color = red>chicago</font> <font color = red>rockets</font> .<SPLIT><font color = red>he</font> <font color = red>played</font> <font color = red>college</font> <font color = red>football</font> <font color = red>at</font> <font color = red>northwestern</font> <font color = red>university</font> <font color = red>and</font> <font color = red>was</font> <font color = red>drafted</font> <font color = red>in</font> <font color = red>the</font> <font color = red>ninth</font> <font color = red>round</font> <font color = red>of</font> <font color = red>the</font> <font color = red>1943</font> <font color = red>nfl</font> <font color = red>draft</font> <font color = red>by</font> <font color = red>the</font> <font color = red>washington</font> <font color = red>redskins</font> .<SPLIT>",20,Bob motl,"<<font color = red>mask__46</font>> <<font color = red>mask__21</font>> <<font color = red>mask__45</font>> ( <<font color = red>mask__35</font>> <<font color = red>mask__37</font>> , <<font color = red>mask__36</font>> -- <<font color = red>mask__38</font>> <<font color = red>mask__39</font>> , <<font color = red>mask__43</font>> ) <<font color = red>mask__24</font>> <<font color = red>mask__22</font>> <<font color = red>mask__10</font>> <<font color = red>mask__23</font>> <<font color = red>mask__44</font>> <<font color = red>mask__30</font>> <<font color = red>mask__11</font>> <<font color = red>mask__1</font>> <<font color = red>mask__26</font>> <<font color = red>mask__25</font>> <<font color = red>mask__28</font>> <<font color = red>mask__18</font>> <<font color = red>mask__34</font>> <<font color = red>mask__32</font>> .<SPLIT><<font color = red>mask__20</font>> <<font color = red>mask__31</font>> <<font color = red>mask__5</font>> <<font color = red>mask__8</font>> <<font color = red>mask__7</font>> <<font color = red>mask__9</font>> <<font color = red>mask__29</font>> <<font color = red>mask__6</font>> <<font color = red>mask__15</font>> <<font color = red>mask__3</font>> <<font color = red>mask__16</font>> <<font color = red>mask__17</font>> <<font color = red>mask__42</font>> <<font color = red>mask__4</font>> <<font color = red>mask__12</font>> <<font color = red>mask__27</font>> <<font color = red>mask__41</font>> <<font color = red>mask__33</font>> <<font color = red>mask__14</font>> <<font color = red>mask__13</font>> <<font color = red>mask__19</font>> <<font color = red>mask__40</font>> <<font color = red>mask__2</font>> .<SPLIT>",43669,1.5497207641601562e-06,0.12948793172836304,20,20,20,2117,Failed
21,Christiane soeder,"<font color = green>christiane</font> <font color = green>soeder</font> ( born <font color = green>january</font> <font color = green>15</font> , <font color = green>1975</font> in <font color = green>remscheid</font> , <font color = green>north</font> rhine-westphalia ) <font color = green>is</font> a german-born <font color = green>austrian</font> <font color = green>road</font> <font color = green>racing</font> <font color = green>cyclist</font> and <font color = green>former</font> duathlete who <font color = green>now</font> <font color = green>lives</font> in vienna .<SPLIT><font color = green>she</font> finished <font color = green>fourth</font> <font color = green>in</font> <font color = green>the</font> <font color = green>2008</font> olympic road race <font color = green>with</font> a <font color = green>time</font> <font color = green>of</font> 3h <font color = green>32</font> ′ <font color = green>28</font> .<SPLIT>she rides professionally <font color = green>for</font> .<SPLIT>",21,Ruben zepuntke,"<<font color = purple>mask__5</font>> <<font color = purple>mask__26</font>> ( born <<font color = purple>mask__3</font>> <<font color = purple>mask__23</font>> , <<font color = purple>mask__24</font>> in <<font color = purple>mask__4</font>> , <<font color = purple>mask__20</font>> rhine-westphalia ) <<font color = purple>mask__21</font>> a german-born <<font color = purple>mask__2</font>> <<font color = purple>mask__19</font>> <<font color = purple>mask__22</font>> <<font color = purple>mask__9</font>> and <<font color = purple>mask__25</font>> duathlete who <<font color = purple>mask__17</font>> <<font color = purple>mask__7</font>> in vienna .<SPLIT><<font color = purple>mask__1</font>> finished <<font color = purple>mask__8</font>> <<font color = purple>mask__10</font>> <<font color = purple>mask__11</font>> <<font color = purple>mask__13</font>> olympic road race <<font color = purple>mask__14</font>> a <<font color = purple>mask__12</font>> <<font color = purple>mask__6</font>> 3h <<font color = purple>mask__15</font>> ′ <<font color = purple>mask__16</font>> .<SPLIT>she rides professionally <<font color = purple>mask__18</font>> .<SPLIT>",69889,1.6689300537109375e-06,0.6813284158706665,21,38573,21,1646,Successful
